obs_id,index,object_id,object_name,object_name_2MASS,object_name_HIP,object_name_HR,object_name_TYC,object_name_SAO,folder,date_obs,obs_start,obs_end,infrared_filter,irdis_dual_filter,tel_ambi_fwhm_mean,tel_tau0_mean,tel_ambi_windsp,windSpeed_200_asm,seeing_sparta_min,seeing_sparta_max,seeing_sparta_avg,seeing_tel_ia_fwhmlinobs,seeing_tel_ia_fwhmlin,seeing_tel_ia_fwhm,seeing_ambi_fwhm,mass_turbfwhm_asm,mass_fwhm_asm,dimm_fwhm_asm,historical_ambient_fwhm_asm,mass_tau0_asm,mass_tau_asm,historical_ambient_tau_asm,mass_tau0_ms_asm,mass_tau_ms_asm,historical_ambient_tau_ms_asm,tel_ambi_tau0,strehl_sparta_avg,strehl_sparta_max,strehl_sparta_min,flux_K,flux_H,flux_R,flux_G,NAXIS1,n_frames,rot_max,mtime,missing_psf,split,status_obs,comment,found,waffle_amplitude,is_lwe,category,seeing_final,tau_final,analytical_strehl,obs_category,analytical_strehl2,obs_category2,obs_category3,valid_frames
HD_116434__2016-06-26__23-59-43,47,HD_116434,HIP_65426,,HIP_65426,,TYC_8260-1526-1,SAO_240811,HIP 65426_DB_H23_2016-06-26_ird_convert_recenter_dc2022_COBREX_332785,2016-06-26T23:59:43.84,2016-06-26T23:15:56.46,2016-06-27T00:43:30.95,DB_H23,B_H,0.69,2.9,2.23,45.7964,-1.0,-1.0,-1.0,1.12,1.04,0.98,1.0,0.7507,0.4163,0.6868,,0.0029,0.003,,2.9174,2.9902,,3.1,-1.0,-1.0,-1.0,6.771,6.853,,6.9986,80,80,-42.1808,2022-06-25_04-11-12,0,train,0.0,interactive,,0.05,1,0,0.6868,2.9174,0.8705,0,0.9234,-1,-1,77
HD_118697__2016-06-02__02-08-17,53,HD_118697,HIP_66651,,HIP_66651,,TYC_8663-2082-1,SAO_241045,HIP 66651_DB_H23_2016-06-01_ird_convert_recenter_dc2022_COBREX_332584,2016-06-02T02:08:17.03,2016-06-02T01:24:26.92,2016-06-02T02:52:04.54,DB_H23,B_H,0.44,5.3,3.33,54.631,-1.0,-1.0,-1.0,0.83,0.76,0.71,1.0,0.5274,0.2356,0.4599,,0.0052,0.0055,,5.1811,5.5185,,3.4,-1.0,-1.0,-1.0,7.334,7.372,,7.3349,80,80,-38.293,2022-06-25_03-30-37,0,train,0.0,interactive,,0.04,0,2,0.4599,5.1811,0.9202,2,0.9336,2,2,75
HD_125451__2016-06-12__01-39-47,56,HD_125451,HIP_69989,,HIP_69989,HR_5365,TYC_915-1442-1,SAO_100975,HIP 69989_DB_H23_2016-06-11_ird_convert_recenter_dc2022_COBREX_332665,2016-06-12T01:39:47.57,2016-06-12T01:04:09.11,2016-06-12T02:15:25.05,DB_H23,B_H,1.03,2.5,15.78,47.8481,-1.0,-1.0,-1.0,1.46,1.27,1.16,1.0,1.0425,0.8341,1.056,,0.0024,0.0033,,2.4487,3.3305,,1.9,-1.0,-1.0,-1.0,4.394,4.538,,5.289,128,128,25.9683,2022-06-25_03-46-58,0,train,0.0,interactive,,0.04,0,1,1.056,2.4487,0.8026,2,0.9105,2,1,117
HD_14228__2016-09-17__07-03-47,72,HD_14228,HIP_10602,,HIP_10602,HR_674,TYC_8055-1270-1,SAO_232696,HIP 10602_DB_H23_2016-09-16_ird_convert_recenter_dc2022_COBREX_330218,2016-09-17T07:03:47.94,2016-09-17T06:21:20.15,2016-09-17T07:43:13.80,DB_H23,B_H,0.56,19.9,1.68,11.0901,-1.0,-1.0,-1.0,0.89,0.83,103.39,0.8,0.675,0.1999,0.5619,,0.0205,0.0357,,20.5269,35.7356,,16.7,-1.0,-1.0,-1.0,3.86,3.82,3.64,3.556,512,512,-40.2497,2022-06-16_17-39-51,0,train,0.0,interactive,,0.03,1,0,0.5619,20.5269,0.942,0,0.9726,-1,-1,341
HD_142851__2015-06-03__04-11-46,76,HD_142851,HIP_78196,,HIP_78196,,TYC_7329-908-1,SAO_207168,HIP 78196_DB_H23_2015-06-02_ird_convert_recenter_dc2022_COBREX_332932,2015-06-03T04:11:46.36,2015-06-03T03:36:38.78,2015-06-03T04:46:53.87,DB_H23,B_H,1.03,4.4,7.68,15.2738,0.3167,0.6762,0.4468,0.84,0.84,0.79,1.0,,,,1.0305,,,0.0044,,,4.428,3.2,0.8998,0.9266,0.8626,7.032,7.12,,7.0241,64,64,-91.8449,2022-06-25_05-07-12,0,train,0.0,interactive,,0.03,0,1,1.0305,4.428,0.8209,2,0.8951,2,1,64
HD_1466__2016-09-18__05-32-12,85,HD_1466,HIP_1481,,HIP_1481,,TYC_8843-1330-1,SAO_248159,HIP 1481_DB_H23_2016-09-17_ird_convert_recenter_dc2022_COBREX_330641,2016-09-18T05:32:12.81,2016-09-18T04:48:27.35,2016-09-18T06:15:59.34,DB_H23,B_H,0.8,4.9,10.23,8.2899,-1.0,-1.0,-1.0,1.36,1.16,1.07,1.0,0.8079,0.5865,0.7942,,0.0049,0.0098,,4.941,9.7616,,6.0,-1.0,-1.0,-1.0,6.149,6.248,,7.3392,80,80,-31.0696,2022-06-17_18-17-52,0,train,0.0,interactive,,0.03,0,2,0.7942,4.941,0.8646,2,0.9078,2,2,73
HD_147553__2015-05-30__05-02-09,86,HD_147553,HIP80324,,HIP_80324,HR_6097,,,HIP 80324_DB_H23_2015-05-29_ird_convert_recenter_dc2022_COBREX_332869,2015-05-30T05:02:09.17,2015-05-30T04:18:28.02,2015-05-30T05:40:23.73,DB_H23,B_H,0.72,1.8,7.68,58.42,0.2588,0.6388,0.3428,0.78,0.77,0.71,1.0,,,,0.7327,,,0.0018,,,1.8215,1.6,0.7765,0.8325,0.556,,,,,136,136,-88.8515,2022-06-25_04-48-19,0,train,0.0,interactive,,0.03,0,1,0.7327,1.8215,0.8405,2,0.9409,2,1,114
HD_151726__2016-04-01__09-11-13,92,HD_151726,HIP_82430,,HIP_82430,,TYC_7868-1175-1,SAO_208083,HIP 82430_DB_H23_2016-03-31_ird_convert_recenter_dc2022_COBREX_332352,2016-04-01T09:11:13.85,2016-04-01T08:24:52.01,2016-04-01T10:04:53.12,DB_H23,B_H,1.06,1.8,6.0,31.5162,0.2889,0.7584,0.4029,0.84,0.82,0.76,1.0,,,,1.0226,,,0.0019,,,1.8765,2.4,0.7841,0.828,0.7251,7.261,7.261,,7.224,80,80,-78.546,2022-06-25_00-33-49,0,train,0.0,interactive,,0.03,0,1,1.0226,1.8765,0.7706,1,0.8765,1,1,69
HD_159492__2016-06-11__05-40-25,97,HD_159492,HIP_86305,,HIP_86305,HR_6549,TYC_8733-2365-1,SAO_244896,HIP 86305_DB_H23_2016-06-10_ird_convert_recenter_dc2022_COBREX_332617,2016-06-11T05:40:25.79,2016-06-11T05:12:55.28,2016-06-11T06:13:31.58,DB_H23,B_H,0.62,3.2,3.2,53.4849,-1.0,-1.0,-1.0,1.22,1.11,1.06,1.0,0.6753,0.614,0.633,,0.0032,0.0032,,3.1773,3.2195,,3.3,-1.0,-1.0,-1.0,4.78,4.866,,5.2087,95,95,-25.9217,2022-06-25_03-38-11,0,train,0.0,interactive,,0.04,0,2,0.633,3.1773,0.8983,2,0.9548,2,2,65
HD_159911__2016-05-22__06-07-40,100,HD_159911,BD-13_4687,,,,TYC_5672-216-1,,HD 159911_DB_H23_2016-05-21_ird_convert_recenter_dc2022_COBREX_332467,2016-05-22T06:07:40.95,2016-05-22T05:29:21.99,2016-05-22T06:45:59.95,DB_H23,B_H,0.48,5.9,7.25,34.4977,0.263,0.4795,0.35,0.82,0.81,0.75,0.8,0.5202,0.3178,0.4826,,0.0058,0.0079,,5.8481,7.8858,,5.9,0.7509,0.7981,0.664,6.835,7.02,,9.5607,70,70,71.4837,2022-06-25_02-44-41,0,train,0.0,interactive,,0.03,0,2,0.4826,5.8481,0.8308,2,0.8278,1,2,67
HD_16978__2015-10-01__06-39-32,108,HD_16978,HIP_12394,,HIP_12394,HR_806,TYC_9144-1686-1,SAO_248621,HIP 12394_DB_H23_2015-09-30_ird_convert_recenter_dc2022_COBREX_335378,2015-10-01T06:39:32.83,2015-10-01T05:52:03.91,2015-10-01T07:37:37.59,DB_H23,B_H,1.06,1.3,2.28,55.3313,0.3625,1.3174,0.595,1.34,1.1,0.99,1.0,,,,1.1223,,,0.0013,,,1.2584,1.4,0.7652,0.8753,0.322,4.254,4.433,,4.1123,608,608,-34.6156,2022-06-25_20-06-30,0,train,0.0,interactive,,0.04,1,0,1.1223,1.2584,0.7121,0,0.8847,-1,-1,350
HD_172555__2015-05-11__07-51-19,112,HD_172555,HIP92024,,HIP_92024,HR_7012,TYC_9077-2487-1,SAO_254358,HIP 92024_DB_H23_2015-05-10_ird_convert_recenter_dc2022_COBREX_332740,2015-05-11T07:51:19.34,2015-05-11T07:23:37.60,2015-05-11T08:19:00.92,DB_H23,B_H,0.79,3.9,8.13,28.4633,-1.0,-1.0,-1.0,2.05,1.74,1.04,1.0,,,,0.7625,,,0.0041,,,4.1436,3.9,-1.0,-1.0,-1.0,4.298,4.251,,4.7246,192,192,-19.2948,2022-06-25_03-59-28,0,train,0.0,interactive,,0.04,0,2,0.7625,4.1436,0.8875,2,0.9488,2,2,106
HD_174429__2015-05-06__09-49-25,113,HD_174429,PZTel,,HIP_92680,,TYC_8381-2435-1,SAO_245781,HIP 92680_DB_H23_2015-05-05_ird_convert_recenter_dc2022_COBREX_waffles_only_328698,2015-05-06T09:49:25.87,2015-05-06T09:35:30.26,2015-05-06T10:01:56.28,DB_H23,B_H,1.43,1.3,1.77,49.1497,-1.0,-1.0,-1.0,0.84,0.77,0.74,1.4,,,,1.2894,,,0.0014,,,1.352,2.1,-1.0,-1.0,-1.0,6.366,6.486,,8.1017,82,82,-11.4059,2022-06-10_20-21-35,0,train,0.0,interactive,,0.05,1,0,1.2894,1.352,0.4451,0,0.756,-1,-1,74
HD_177724__2015-06-28__05-32-37,121,HD_177724,HIP_93747,,HIP_93747,HR_7235,TYC_1052-3027-1,SAO_104461,HIP 93747_DB_H23_2015-06-27_ird_convert_recenter_dc2022_COBREX_333268,2015-06-28T05:32:37.15,2015-06-28T04:50:26.87,2015-06-28T06:14:45.36,DB_H23,B_H,1.0134,1.2,6.83,44.652,0.3932,1.2034,0.6315,1.33,1.14,1.06,1.4,,,,,,,,,,,1.2,0.7184,0.8654,0.5086,2.88,3.05,2.98,3.0011,560,560,29.8796,2022-06-25_07-27-48,0,train,0.0,interactive,,0.04,0,1,1.0134,1.2,0.7239,1,0.8947,1,0,432
HD_178253__2015-06-06__07-40-23,123,HD_178253,HIP_94114,,HIP_94114,HR_7254,TYC_7917-2653-1,SAO_210990,HIP 94114_DB_H23_2015-06-05_ird_convert_recenter_dc2022_COBREX_333018,2015-06-06T07:40:23.65,2015-06-06T07:03:48.55,2015-06-06T08:16:58.17,DB_H23,B_H,1.29,1.8,12.82,23.4771,0.4031,1.3719,0.6557,1.17,1.14,1.06,1.0,,,,1.4561,,,0.0018,,,1.8448,2.1,0.8858,0.9311,0.7335,4.049,3.915,,4.0973,256,256,-49.7435,2022-06-25_05-32-13,0,train,0.0,interactive,,0.04,0,1,1.4561,1.8448,0.6946,1,0.8614,1,0,156
HD_181296__2015-05-05__09-22-43,124,HD_181296,HIP_95261,,HIP_95261,HR_7329,TYC_8765-2571-1,SAO_246055,HIP 95261_DB_H23_2015-05-04_ird_convert_recenter_dc2022_COBREX_332641,2015-05-05T09:22:43.87,2015-05-05T08:27:08.56,2015-05-05T10:12:32.42,DB_H23,B_H,1.11,1.2,3.58,49.2303,-1.0,-1.0,-1.0,1.08,0.99,0.93,1.4,,,,1.2668,,,0.0012,,,1.1855,1.1,-1.0,-1.0,-1.0,5.01,5.15,,5.0123,168,168,-46.8276,2022-06-25_03-43-41,0,train,0.0,interactive,,0.03,0,1,1.2668,1.1855,0.6714,1,0.8625,1,0,139
HD_181869__2015-05-13__09-10-43,127,HD_181869,HIP_95347,,HIP_95347,HR_7348,TYC_7935-2139-1,SAO_229659,AKARI-IRC-V1 J1923531-403658_DB_H23_2015-05-12_ird_convert_recenter_dc2022_COBREX_332820,2015-05-13T09:10:43.04,2015-05-13T08:33:45.81,2015-05-13T09:47:37.97,DB_H23,B_H,0.99,3.6,0.9,22.4829,-1.0,-1.0,-1.0,0.79,0.77,0.71,1.0,,,,1.01,,,0.0035,,,3.484,3.2,-1.0,-1.0,-1.0,4.2,4.2,,3.9505,256,256,-52.8385,2022-06-25_04-26-28,0,train,0.0,interactive,,0.03,1,0,1.01,3.484,0.8334,0,0.9251,-1,-1,187
HD_181869__2016-05-21__07-53-18,128,HD_181869,HIP_95347,,HIP_95347,HR_7348,TYC_7935-2139-1,SAO_229659,AKARI-IRC-V1 J1923531-403658_DB_H23_2016-05-20_ird_convert_recenter_dc2022_COBREX_332455,2016-05-21T07:53:18.31,2016-05-21T07:04:31.08,2016-05-21T08:42:05.29,DB_H23,B_H,1.26,2.7,7.72,34.7244,0.425,1.7619,0.7326,1.19,1.16,1.08,1.0,1.2489,0.5016,1.282,,0.0027,0.0042,,2.7348,4.2357,,2.1,0.8279,0.8954,0.6102,4.2,4.2,,3.9505,176,176,-71.4899,2022-06-25_02-37-08,0,train,0.0,interactive,,0.03,0,1,1.282,2.7348,0.7628,1,0.8914,1,0,127
HD_188228__2015-05-12__09-04-54,130,HD_188228,HIP_98495,,HIP_98495,HR_7590,TYC_9315-1893-1,SAO_257757,HIP 98495_DB_H23_2015-05-11_ird_convert_recenter_dc2022_COBREX_332784,2015-05-12T09:04:54.43,2015-05-12T08:28:05.92,2015-05-12T09:41:41.82,DB_H23,B_H,0.99,2.9,4.43,25.0342,-1.0,-1.0,-1.0,1.56,1.22,1.03,1.0,,,,1.0279,,,0.0029,,,2.8778,3.2,-1.0,-1.0,-1.0,3.8,3.762,,3.9635,256,256,-22.3432,2022-06-25_04-14-27,0,train,0.0,interactive,,0.03,0,1,1.0279,2.8778,0.8208,2,0.9207,2,1,148
HD_188228__2015-07-01__05-14-12,132,HD_188228,HIP_98495,,HIP_98495,HR_7590,TYC_9315-1893-1,SAO_257757,HIP 98495_DB_H23_2015-06-30_ird_convert_recenter_dc2022_COBREX_333436,2015-07-01T05:14:12.62,2015-07-01T04:38:33.41,2015-07-01T05:49:50.55,DB_H23,B_H,1.0134,1.2,0.88,61.2048,0.2416,0.7679,0.4373,1.84,1.43,1.17,1.4,,,,,,,,,,,1.2,0.7273,0.9388,0.5582,3.8,3.762,,3.9635,128,128,-21.2979,2022-06-25_07-48-11,0,train,0.0,interactive,,0.04,1,0,1.0134,1.2,0.7234,0,0.8936,-1,-1,85
HD_188228__2016-05-25__09-18-36,133,HD_188228,HIP_98495,,HIP_98495,HR_7590,TYC_9315-1893-1,SAO_257757,HIP 98495_DB_H23_2016-05-24_ird_convert_recenter_dc2022_COBREX_332488,2016-05-25T09:18:36.13,2016-05-25T08:19:25.11,2016-05-25T10:17:48.68,DB_H23,B_H,0.56,5.8,0.23,53.4568,0.0785,0.8453,0.3511,1.36,1.06,0.87,1.2,0.6783,0.2634,0.5462,,0.006,0.0061,,5.9948,6.0804,,9.4,0.856,0.9979,0.5712,3.8,3.762,,3.9635,416,416,-35.4357,2022-06-25_03-04-07,0,train,0.0,interactive,,0.04,1,0,0.5462,5.9948,0.9347,0,0.9708,-1,-1,219
HD_192425__2015-09-28__00-51-15,139,HD_192425,HIP_99742,,HIP_99742,HR_7724,TYC_1618-2331-1,SAO_105878,HIP 99742_DB_H23_2015-09-27_ird_convert_recenter_dc2022_COBREX_335245,2015-09-28T00:51:15.78,2015-09-28T00:14:41.00,2015-09-28T01:27:50.66,DB_H23,B_H,1.51,9.4,2.13,19.2893,0.4245,0.91,0.5798,1.27,1.08,0.98,1.0,,,,1.4806,,,0.0093,,,9.3103,8.8,0.8604,0.9035,0.7727,4.767,4.801,,4.9237,256,256,25.215,2022-06-25_18-49-00,0,train,0.0,interactive,,0.04,1,0,1.4806,9.3103,0.7432,0,0.8722,-1,-1,200
HD_192425__2016-06-11__07-27-45,140,HD_192425,HIP_99742,,HIP_99742,HR_7724,TYC_1618-2331-1,SAO_105878,HIP 99742_DB_H23_2016-06-10_ird_convert_recenter_dc2022_COBREX_332618,2016-06-11T07:27:45.84,2016-06-11T06:35:17.43,2016-06-11T08:20:13.56,DB_H23,B_H,0.64,4.7,2.92,54.2877,-1.0,-1.0,-1.0,1.32,1.12,1.0,1.4,0.7012,0.4595,0.6372,,0.0046,0.0048,,4.5615,4.7955,,3.5,-1.0,-1.0,-1.0,4.767,4.801,,4.9237,96,96,35.6974,2022-06-25_03-38-14,0,train,0.0,interactive,,0.04,1,0,0.6372,4.5615,0.9121,0,0.9594,-1,-1,65
HD_201184__2015-09-29__00-46-20,150,HD_201184,HIP_104365,,HIP_104365,HR_8087,TYC_6358-1841-1,SAO_190050,HIP 104365_DB_H23_2015-09-28_ird_convert_recenter_dc2022_COBREX_335302,2015-09-29T00:46:20.57,2015-09-29T00:09:45.81,2015-09-29T01:22:54.68,DB_H23,B_H,1.91,1.6,9.9,21.588,0.6058,1.303,0.8401,1.33,1.32,1.22,1.0,,,,1.8943,,,0.0016,,,1.5701,2.1,0.7958,0.8609,0.5687,5.305,5.334,,5.3076,256,256,80.5715,2022-06-25_19-04-04,0,train,0.0,interactive,,0.06,0,0,1.8943,1.5701,0.5787,1,0.7946,0,0,146
HD_20630__2015-12-27__01-22-43,154,HD_20630,KAP_CET,,HIP_15457,HR_996,TYC_59-1947-1,SAO_111120,HIP 15457_DB_H23_2015-12-26_ird_convert_recenter_dc2022_COBREX_331870,2015-12-27T01:22:43.13,2015-12-27T00:46:31.50,2015-12-27T01:58:54.49,DB_H23,B_H,1.04,2.9,3.6,20.0151,0.4013,0.9798,0.5792,1.08,1.0,0.92,1.0,,,,1.1872,,,0.0032,,,3.1881,4.7,0.9065,0.9345,0.824,2.957,3.039,4.27,4.6565,480,480,33.2458,2022-06-24_21-10-21,0,train,0.0,interactive,,0.04,0,1,1.1872,3.1881,0.7911,1,0.9039,2,1,302
HD_210049__2016-09-17__03-22-07,157,HD_210049,HIP_109285,,HIP_109285,HR_8431,TYC_7492-1466-1,SAO_213576,HIP 109285_DB_H23_2016-09-16_ird_convert_recenter_dc2022_COBREX_waffles_only_329726,2016-09-17T03:22:07.89,2016-09-17T02:46:18.86,2016-09-17T04:01:56.26,DB_H23,B_H,0.6,19.7,1.43,13.8067,-1.0,-1.0,-1.0,0.8,0.79,0.73,0.8,0.7126,0.2304,0.5918,,0.0201,0.0249,,20.1406,24.873,,20.4,-1.0,-1.0,-1.0,4.309,4.55,4.43,4.4659,420,420,-87.6297,2022-06-16_12-16-33,0,train,0.0,interactive,,0.03,1,0,0.5918,20.1406,0.9362,0,0.9687,-1,-1,335
HD_210049__2016-10-14__01-15-39,158,HD_210049,HIP_109285,,HIP_109285,HR_8431,TYC_7492-1466-1,SAO_213576,HIP 109285_DB_H23_2016-10-13_ird_convert_recenter_dc2022_COBREX_waffles_only_330681,2016-10-14T01:15:39.62,2016-10-14T00:44:36.38,2016-10-14T01:48:40.50,DB_H23,B_H,0.74,2.4,5.3,53.8747,-1.0,-1.0,-1.0,0.9,0.89,0.83,1.4,0.8498,0.4761,0.7371,,0.0024,0.0026,,2.4006,2.5847,,3.3,-1.0,-1.0,-1.0,4.309,4.55,4.43,4.4659,80,80,-84.1233,2022-06-17_18-39-16,0,train,0.0,interactive,,0.03,0,1,0.7371,2.4006,0.8647,2,0.9447,2,1,64
